Squad,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK
Alavés,30,25.5,40.3,38,418,"3,420",38,40,31,71,39,1,3,109,4,1.05,0.82,1.87,1.03,1.84
Athletic Club,26,26.7,49.6,38,418,"3,420",38,39,25,64,33,6,8,93,0,1.03,0.66,1.68,0.87,1.53
Atlético Madrid,26,26.6,47.5,38,418,"3,420",38,57,41,98,53,4,5,96,5,1.5,1.08,2.58,1.39,2.47
Barcelona,25,27.7,62.8,38,418,"3,420",38,96,74,170,93,3,5,67,2,2.53,1.95,4.47,2.45,4.39
Celta Vigo,23,25.7,55.7,38,418,"3,420",38,57,45,102,55,2,3,85,1,1.5,1.18,2.68,1.45,2.63
Dep La Coruña,32,28.2,46.8,38,418,"3,420",38,38,30,68,35,3,5,100,2,1,0.79,1.79,0.92,1.71
Eibar,27,27.4,52,38,418,"3,420",38,43,31,74,41,2,3,86,3,1.13,0.82,1.95,1.08,1.89
Espanyol,25,26.8,46.9,38,418,"3,420",38,33,24,57,31,2,3,88,1,0.87,0.63,1.5,0.82,1.45
Getafe,32,28.2,40.2,38,418,"3,420",38,41,27,68,36,5,12,134,5,1.08,0.71,1.79,0.95,1.66
Girona,25,26.3,46.8,38,418,"3,420",38,50,31,81,44,6,8,102,0,1.32,0.82,2.13,1.16,1.97
Las Palmas,36,27,54.7,38,418,"3,420",38,24,15,39,18,6,8,89,3,0.63,0.39,1.03,0.47,0.87
Leganés,28,27.8,43,38,418,"3,420",38,32,23,55,30,2,3,105,5,0.84,0.61,1.45,0.79,1.39
Levante,33,25.7,42.8,38,418,"3,420",38,43,28,71,38,5,5,111,6,1.13,0.74,1.87,1,1.74
Málaga,37,27.2,44.1,38,418,"3,420",38,23,15,38,19,4,6,101,8,0.61,0.39,1,0.5,0.89
Real Betis,29,27.1,56.9,38,418,"3,420",38,56,43,99,54,2,3,91,3,1.47,1.13,2.61,1.42,2.55
Real Madrid,24,27.1,60.2,38,418,"3,420",38,91,65,156,83,8,10,67,4,2.39,1.71,4.11,2.18,3.89
Real Sociedad,27,25.9,56.5,38,418,"3,420",38,64,47,111,60,4,5,64,5,1.68,1.24,2.92,1.58,2.82
Sevilla,31,27.1,54.3,38,418,"3,420",38,48,35,83,44,4,5,99,3,1.26,0.92,2.18,1.16,2.08
Valencia,25,24.8,48.6,38,418,"3,420",38,63,45,108,55,8,8,107,5,1.66,1.18,2.84,1.45,2.63
Villarreal,32,26.6,50.4,38,418,"3,420",38,56,45,101,52,4,5,117,6,1.47,1.18,2.66,1.37,2.55
